Time	YKL109W	YCL066W	YCL067C	YJL056C	YCR040W	YLR098C	YLR013W	YJL110C	YCR097W	YCR096C	YPR199C	YDR421W	YOL089C	YGR044C	YCR018C	YOR140W	YHR006W	YOR032C	YPL248C	YML051W	YGL209W	YGL035C	YMR280C	YDR146C	YML113W	YCR039C	YER189W	YCL065W	YCR041W	YNL339C	YDR545W	YNL337W	YGR296W	YNL336W	YER188CA	YBL111C	YDR543C	YHR091C	YDR544C	YER190W	YGL001C	YKL178C	YBR019C	YMR135WA	YBR020W	YPL283C	YLR463C	YLR467W	YLR465C	YDR009W
0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1
1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1
2	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1
3	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1
4	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1
5	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1
6	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1
7	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1
8	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1
9	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1
10	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1
11	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1
12	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1
13	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
14	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1
15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1
16	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1
17	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1
18	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
19	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1
20	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1
21	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1
22	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1
23	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1
24	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1
25	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1
26	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1
27	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1
28	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1
29	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1
30	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1
31	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1
32	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1
33	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1
34	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1
35	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1
36	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1
37	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1
38	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1
39	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1
40	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1
41	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1
42	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1
43	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1
44	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1
45	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1
46	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1
47	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1
48	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1
49	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	1
50	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1
51	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1
52	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1
53	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1
54	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1
55	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1
56	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1
57	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1
58	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
59	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1
60	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1
61	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1
62	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1
63	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1
64	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1
65	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1
66	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1
67	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1
68	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0
69	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0
70	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0
71	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0
72	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0
73	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0
74	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1
75	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1
76	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1
77	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1
78	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1
79	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
80	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1
81	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0
82	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	0	1
83	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1
84	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1
85	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0
86	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1
87	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1
88	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0
89	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0
90	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
91	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0
92	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
93	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
94	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
95	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1
96	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1
97	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1
98	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1
99	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1
100	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1
101	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1
102	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1
